resource_id,resource_name,resource_type,cpu_utilization,disk_read_bytes,disk_write_bytes,storage_used_gb,status,timestamp
/subscriptions/35135838-c3a1-46a1-b924-db102068653a/resourceGroups/NetworkWatcherRG/providers/Microsoft.Network/networkWatchers/NetworkWatcher_westus2,NetworkWatcher_westus2,Microsoft.Network/networkWatchers,,0.0,0.0,0.0,unknown,2026-08-15 09:26:12.459615
/subscriptions/35135838-c3a1-46a1-b924-db102068653a/resourceGroups/BITS-PROJECT/providers/Microsoft.Compute/disks/bitsvm_disk1_f32415d127f84014921aeb57820f3e7f,bitsvm_disk1_f32415d127f84014921aeb57820f3e7f,Microsoft.Compute/disks,,0.0,0.0,0.0,unknown,2026-08-15 09:26:12.459612
/subscriptions/35135838-c3a1-46a1-b924-db102068653a/resourceGroups/Bits-project/providers/Microsoft.Compute/virtualMachines/bitsvm,bitsvm,Microsoft.Compute/virtualMachines,2.0256250000000002,27444963.76833333,203575217.63833332,0.0,unknown,2026-08-15 09:26:12.459608
/subscriptions/35135838-c3a1-46a1-b924-db102068653a/resourceGroups/Bits-project/providers/Microsoft.Network/networkInterfaces/bitsvm334,bitsvm334,Microsoft.Network/networkInterfaces,,0.0,0.0,0.0,unknown,2026-08-15 09:26:12.459605
/subscriptions/35135838-c3a1-46a1-b924-db102068653a/resourceGroups/Bits-project/providers/Microsoft.Network/virtualNetworks/vnet-westus2-1,vnet-westus2-1,Microsoft.Network/virtualNetworks,,0.0,0.0,0.0,unknown,2026-08-15 09:26:12.459601
/subscriptions/35135838-c3a1-46a1-b924-db102068653a/resourceGroups/Bits-project/providers/Microsoft.Network/publicIPAddresses/bitsvm-ip,bitsvm-ip,Microsoft.Network/publicIPAddresses,,0.0,0.0,0.0,unknown,2026-08-15 09:26:12.459597
/subscriptions/35135838-c3a1-46a1-b924-db102068653a/resourceGroups/Bits-project/providers/Microsoft.Network/networkSecurityGroups/bitsvm-nsg,bitsvm-nsg,Microsoft.Network/networkSecurityGroups,,0.0,0.0,0.0,unknown,2026-08-15 09:26:12.459593
/subscriptions/35135838-c3a1-46a1-b924-db102068653a/resourceGroups/Bits-project/providers/Microsoft.Storage/storageAccounts/bits2,bits2,Microsoft.Storage/storageAccounts,,0.0,0.0,0.0,unknown,2026-08-15 09:26:12.459589
/subscriptions/35135838-c3a1-46a1-b924-db102068653a/resourceGroups/Bits-project/providers/Microsoft.Storage/storageAccounts/bits1,bits1,Microsoft.Storage/storageAccounts,,0.0,0.0,0.0,unknown,2026-08-15 09:26:12.459580
/subscriptions/35135838-c3a1-46a1-b924-db102068653a/resourceGroups/NetworkWatcherRG/providers/Microsoft.Network/networkWatchers/NetworkWatcher_westus2,NetworkWatcher_westus2,Microsoft.Network/networkWatchers,,0.0,0.0,0.0,unknown,2026-08-15 09:22:10.549111
/subscriptions/35135838-c3a1-46a1-b924-db102068653a/resourceGroups/BITS-PROJECT/providers/Microsoft.Compute/disks/bitsvm_disk1_f32415d127f84014921aeb57820f3e7f,bitsvm_disk1_f32415d127f84014921aeb57820f3e7f,Microsoft.Compute/disks,,0.0,0.0,0.0,unknown,2026-08-15 09:22:10.549108
/subscriptions/35135838-c3a1-46a1-b924-db102068653a/resourceGroups/Bits-project/providers/Microsoft.Compute/virtualMachines/bitsvm,bitsvm,Microsoft.Compute/virtualMachines,3.80375,54861255.876666665,406635121.93666667,0.0,unknown,2026-08-15 09:22:10.549105
/subscriptions/35135838-c3a1-46a1-b924-db102068653a/resourceGroups/Bits-project/providers/Microsoft.Network/networkInterfaces/bitsvm334,bitsvm334,Microsoft.Network/networkInterfaces,,0.0,0.0,0.0,unknown,2026-08-15 09:22:10.549101
/subscriptions/35135838-c3a1-46a1-b924-db102068653a/resourceGroups/Bits-project/providers/Microsoft.Network/virtualNetworks/vnet-westus2-1,vnet-westus2-1,Microsoft.Network/virtualNetworks,,0.0,0.0,0.0,unknown,2026-08-15 09:22:10.549097
/subscriptions/35135838-c3a1-46a1-b924-db102068653a/resourceGroups/Bits-project/providers/Microsoft.Network/publicIPAddresses/bitsvm-ip,bitsvm-ip,Microsoft.Network/publicIPAddresses,,0.0,0.0,0.0,unknown,2026-08-15 09:22:10.549088
